# Rime user dictionary
#@/db_name	bxm26J
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	64909
#@/user_id	1520d77d-d27c-4605-8f5b-f25221a59c49
a 	又	c=112 d=4.9658 t=64909
dsgj 	减少	c=8 d=0.562705 t=64909
dshq 	浅	c=1 d=2.75543e-42 t=64909
dshw 	减免	c=44 d=8.066e-28 t=64909
dsio 	漂亮	c=3 d=1.22955e-23 t=64909
dsjo 	減	c=2 d=1.6376e-38 t=64909
dsnl 	减肥	c=1 d=3.57786e-56 t=64909
dsyu 	减去	c=2 d=1 t=64909
dt 	河	c=3 d=1.28218e-100 t=64909
dtxi 	河北	c=5 d=0.202543 t=64909
dv 	海	c=4 d=2.96328e-37 t=64909
dvaq 	准备	c=11 d=0.391524 t=64909
dvbj 	冷暖	c=1 d=2.49781e-93 t=64909
dvde 	深入浅出	c=2 d=5.08209e-89 t=64909
dvdz 	冷	c=3 d=7.6372e-65 t=64909
dvi 	准	c=2 d=2.1173e-31 t=64909
dvkj 	冷气	c=2 d=7.10337e-109 t=64909
dvph 	准确	c=1 d=6.84421e-40 t=64909
dvq 	海	c=3 d=7.45927e-23 t=64909
dw 	没	c=57 d=2.90578e-20 t=64909
dwa 	没	c=1 d=1.25698e-73 t=64909
dwfh 	没事	c=6 d=9.27552e-28 t=64909
dwk 	涨	c=3 d=1.64883e-95 t=64909
dwx 	泑	c=1 d=9.67875e-58 t=64909
dwxn 	没有	c=478 d=5.80551 t=64909
dx 	义	c=15 d=0.767206 t=64909
dxav 	为难	c=1 d=1.9599e-34 t=64909
dxo 	沽	c=6 d=0.759572 t=64909
dxon 	湖	c=2 d=0.663902 t=64909
dxvj 	为什么	c=1 d=1.71385e-44 t=64909
dy 	法	c=19 d=5.07455e-31 t=64909
dyaj 	涉及	c=18 d=1.97817 t=64909
dyax 	洋务	c=1 d=4.14756e-59 t=64909
dybj 	凌晨	c=1 d=0.733447 t=64909
dybm 	清晰	c=1 d=1.07182e-110 t=64909
dydf 	清洗	c=1 d=1.04863e-88 t=64909
dygt 	清单	c=2 d=9.60724e-59 t=64909
dygu 	凌云	c=1 d=3.05788e-32 t=64909
dyhv 	清欠	c=22 d=2.63945e-23 t=64909
dyi 	油	c=2 d=2.91469e-56 t=64909
